Name,EntityId,DisplayName,Category,Role,VariantStatus,BiomePrimary,BiomeSecondary,VisualSummary,Palette,GameplayRead,MaxHealth,MoveSpeed,ThreatLevel,TamingDifficulty,IsHusbandry,IsMountable,EliteVariant
ANI_PEBBLE_SKITTER,ANI_PEBBLE_SKITTER,Pebble Skitter,Animal,Prey,Base,BasaltShelf,StoneFields,Palm-sized radial body on ten stilt-legs. Self-righting coin-like skitter motion.,Stone grey; pale underflesh,Tiny swarm prey; comic but unsettling.,25,300,0.5,0,false,false,
ANI_GLEAM_LARVER,ANI_GLEAM_LARVER,Gleam Larver,Animal,Prey,Base,WetBasins,MeltlineEdges,Segmented tube-like body with reflective plates and three hook anchors. Short wet lunges.,Oil silver; pale bone; wet beige,Burrow prey with slippery materials.,40,180,0.8,0,false,false,
ANI_SHARDBACK_GRAZER,ANI_SHARDBACK_GRAZER,Shardback Grazer,Animal,Prey/Herd,Base,WindPlains,MossFields,Low-slung hexapod with overlapping ceramic back plates and tri-lobed scraping mouth.,Bone white; muted tan; dark joint tissue,Bread-and-butter herd animal.,150,280,1.5,0,false,false,
ANI_SILT_STRIDER,ANI_SILT_STRIDER,Silt Strider,Animal,Prey/Herd,Base,ShallowFens,WetBasins,Three spring legs plus stabilizer fins and buoyant belly sac for marsh travel.,Mud brown; teal sacs; pale underside,Wetland herbivore with unique gait.,120,320,1.2,0,false,false,
ANI_PILLARBACK_HAULER,ANI_PILLARBACK_HAULER,Pillarback Hauler,Animal,Prey/Large,Base,BasaltShelf,CraterFloors,Tall quadruped with stacked column vertebrae and dorsal mineral storage cavities.,Basalt black; dusty tan; faint mineral glints,Megafauna harvest target / living landmark.,800,200,3.0,0,false,false,ANI_PILLARBACK_HAULER_TITAN
ANI_BASIN_TREADER,ANI_BASIN_TREADER,Basin Treader,Animal,Prey/Herd,Base,ColdBasins,WindPlains,Wide disc body on eight piston legs with cilia-lined underside for grazing.,Slate grey; pale cilia; muted moss staining,Large herd grazer and distant silhouette anchor.,200,220,1.8,0,false,false,
ANI_NESTWEAVER_DRIFTER,ANI_NESTWEAVER_DRIFTER,Nestweaver Drifter,Animal,Husbandry,Base,CanyonWebs,MossFields,Soft gliding creature with four membrane fins and gas-burst sacs. Drifts between rocks.,Soft grey; cream membrane; warm belly tones,Egg-producing docile livestock.,80,120,0.2,30,true,false,
ANI_MILKBLADDER_HERDLING,ANI_MILKBLADDER_HERDLING,Milkbladder Herdling,Animal,Husbandry,Base,MeltlineEdges,WindPlains,Six-limbed crawler with visible ventral milk sac and blunt grazing face.,Tan hide; pale milk sac; reed-green staining,Gel/milk husbandry animal.,90,150,0.3,25,true,false,
ANI_BONE_LANTERN,ANI_BONE_LANTERN,Bone Lantern,Animal,Scavenger,Base,Any,NearCorpses,Floating gas bladder creature with trailing tendrils and cold blue bioluminescence.,Pale ivory; cold blue light,Night scavenger and atmosphere piece.,35,80,0.1,0,false,false,
ANI_LATCHFIN_MITE,ANI_LATCHFIN_MITE,Latchfin Mite,Animal,Pest,Base,Pens,WetBasins,Fingernail-sized puck organism with adhesive fins. Tiny hopping suction snaps.,Dark brown; translucent fin edges,Parasite warning organism.,5,200,0.5,0,false,false,
ANI_CRACKRUNNER,ANI_CRACKRUNNER,Crackrunner,Animal,Prey,Base,ThermalCracks,BasaltShelf,Rigid spine-wheel creature that curls into a rolling hoop. Silhouette change is its identity.,Black; rust edge highlights,Fast rolling prey.,60,450,1.0,0,false,false,
ANI_RIDGE_COURSER,ANI_RIDGE_COURSER,Ridge Courser,Animal,Mount,Base,WindPlains,BasaltShelf,Long-bodied six-limbed runner with spring forelegs and vane tail. Reads fast at rest.,Dust tan; charcoal; pale sensory faceplate,Primary fast mount species.,200,550,1.5,60,false,true,ANI_RIDGE_COURSER_STORMLINE
ANI_VAULTBACK_DRAY,ANI_VAULTBACK_DRAY,Vaultback Dray,Animal,Mount,Base,CraterFloors,BasaltShelf,Massive load-bearing beast with dorsal vault depression and natural harness ribs.,Grey-brown; black tread skin; iron flecks,Primary heavy transport mount.,350,180,1.0,40,false,true,ANI_VAULTBACK_DRAY_BASTION
ANI_TETHERBACK_PACKGRAZER,ANI_TETHERBACK_PACKGRAZER,Tetherback Packgrazer,Animal,Pack Animal,Base,BasaltShelf,CraterFloors,Broad-backed grazer with stable dorsal anchor ridges. Calmer than the Dray.,Warm grey; tan; rope-friendly hide ridges,Non-ridden pack and haul animal.,250,160,0.5,30,false,false,
PRD_SUTURE_WISP,PRD_SUTURE_WISP,Suture Wisp,Predator,Solo Ambush,Base,RidgeShadows,CanyonWebs,Tall ribbon-bodied hunter with oil-sheen and filament tail. Silhouette breaks up in motion.,Black oil sheen; violet edge light,Ambush bind predator.,180,380,4.0,0,false,false,PRD_SUTURE_WISP_PRIME
PRD_NEEDLE_MAW,PRD_NEEDLE_MAW,Needle Maw,Predator,Solo Burrow,Base,MossFields,ColdBasins,Buried cone organism with needle plates. Erupts upward on vibration. Reads like geology when idle.,Bone beige; black slit mouth; wet interior red,Bleed / trap predator.,220,0,3.5,0,false,false,
PRD_DRIFT_STALKER,PRD_DRIFT_STALKER,Drift Stalker,Predator,Solo Chase,Base,WindPlains,GlassDunes,Low sled-like body with vent vanes that skim the ground on gusts.,Dust grey; smoked glass; warm vent glow,Fast pursuit predator.,160,600,3.5,0,false,false,
PRD_VANE_RIPPERS,PRD_VANE_RIPPERS,Vane Rippers,Predator,Pack Flank,Base,WindPlains,BasaltShelf,Knife-thin pack hunters with dorsal vanes and flat sensor faces. Aerodynamic and cooperative.,Grey-black; pale faceplate; sand-scuffed vanes,Pack flanker.,90,420,3.0,0,false,false,PRD_VANE_RIPPERS_GALEPACK
PRD_GLASSJAW_CLUSTER,PRD_GLASSJAW_CLUSTER,Glassjaw Cluster,Predator,Swarm,Base,ThermalCracks,AbandonedStructures,Many small hinged jaw-pods linked by tendon cords snapping in chain reactions.,Translucent beige; pink tendon; glassy highlights,Swarm panic predator.,15,250,2.5,0,false,false,
PRD_SILT_HOUNDS,PRD_SILT_HOUNDS,Silt Hounds,Predator,Pack Ambush,Base,WetBasins,ShallowFens,Flat-bodied waterline ambushers with retractable stabbing limbs and breathing slits.,Mud black; teal wet sheen,Marsh ambush pack.,110,360,3.2,0,false,false,
PRD_TRENCH_DIGGERS,PRD_TRENCH_DIGGERS,Trench Diggers,Predator,Coordinated Breach,Base,BasaltShelf,CraterFloors,Segmented drill-bodied predators with rotating mineral tooth collars. Threaten base walls.,Basalt black; dirty bone teeth; iron dust,Siege-capable digger predator.,200,220,4.5,0,false,false,PRD_TRENCH_DIGGERS_SAPPER
PRD_CARRION_CHOIR,PRD_CARRION_CHOIR,Carrion Choir,Predator,Pressure Flock,Base,Any,NearWaste,Hovering bladder flock emitting layered subsonic calls. Power is psychological.,Pale sickly beige; cold blue sacs,Stress-inducing harassment predator.,25,180,2.0,0,false,false,
PRD_FOGLEECH_SWARM,PRD_FOGLEECH_SWARM,Fogleech Swarm,Predator,Swarm/Visibility Denial,Base,ColdBasins,ShadowFens,Thumb-sized leech flyers gathering into cloud banks. Mass reads like moving weather stain.,Grey-black; faint green biolume dots,Area-control pest swarm that obscures vision and drains composure.,10,200,2.8,0,false,false,
PRD_IRONSTAG_STALKER,PRD_IRONSTAG_STALKER,Ironstag Stalker,Predator,Solo Territorial,Base,MagneticRidges,HighRims,Tall four-legged hunter with antler-like ferric blades and static-catching chest plate.,Iron red; black; silver sparks,Late-mid apex predator with strong landmark silhouette.,450,320,5.5,0,false,false,
PRD_SHELLMAW_AMBUSHER,PRD_SHELLMAW_AMBUSHER,Shellmaw Ambusher,Predator,Buried Ambush,Base,WetBasins,CraterWalls,Broad shell-backed beast hiding as mineral hump until opening trapdoor maw.,Mud brown; black shell; fleshy beige maw,Stationary jump-scare predator.,380,120,4.8,0,false,false,
