Missions_Main_Questline,,,,,,,,,,
,,,,,,,,,,
MissionId,Arc,MissionName,MissionType,Issuer,Trigger,Objective,LocationRule,RewardDesign,FailurePressure,ImplementationNotes
MQ_000,Act 0 - Impact,Cryo Wake,Main,World / Expedition Log / Active Leader,New game begins in a damaged survivor pod.,"Exit pod, recover emergency cord kit, stabilize bleeding, and reach daylight.",Fixed: PlayerStart crash pod inside StartSafeRadiusMeters.,"Tutorial authority: unlock basic interaction, body HUD, and emergency inventory. No external reward.",Delay increases hypothermia/dehydration.,"Teaches immediate survival, not quest UI dependency."
MQ_001,Act 0 - Impact,The First Safe Pocket,Main,World / Expedition Log / Active Leader,Player leaves pod.,"Find or construct a windbreak, place first camp marker, and cache one safe ration stack.",Near PlayerStart; use safe-start biome whitelist.,"BaseClaimToken, camp marker, +5 MG because survivors see a rally point.",Night without shelter adds morale shock.,"The reward is the player's own established camp, not an NPC gift."
MQ_002,Act 0 - Impact,Voices in the Debris,Main,World / Expedition Log / Active Leader,After first shelter marker.,"Locate the first survivor signal, recover 1-3 survivors, and escort them to camp.",POI placeholder: SurvivorPod or CryoPodCluster within start band.,Population unlock; first potential leader candidate; survivors bring personal inventory only.,Survivors can die if ignored for too many days.,"Sets up leadership as people, not menu classes."
MQ_003,Act 0 - Impact,Water Before Fire,Main,World / Expedition Log / Active Leader,After first survivor recovery.,"Secure any two water sources: boiled crash water, filtered basin water, or stored ration water.","GalleyWreck, MeltlineEdge, or crash tank placeholder.",Water routine unlocked; +MR to all recovered survivors; Research learns WaterSafety_Pending.,Unsafe water causes sickness chain.,Avoids random tech reward; unlock is procedural knowledge.
MQ_004,Act 0 - Impact,First Night Protocol,Main,World / Expedition Log / Active Leader,Dusk approaching or first day complete.,"Light camp, assign rest, place emergency food/water, and survive one night.",Base camp.,Unlock daily colony report and first leader complaint system.,Night predator/raid risk if noise high.,First explicit introduction of daily diagnostics.
MQ_005,Act 1 - Stabilization,No Global Stockpile,Main,World / Expedition Log / Active Leader,Player gathers enough mixed materials.,"Build Log Yard, Stone Pile, Pantry, and Scrap Heap; deposit correct items into correct depots.",Base camp.,Station pull logic enabled; +10 MR for workers due readable supply flow.,Crafting stalls if depots not built.,Teaches physical logistics law.
MQ_006,Act 1 - Stabilization,A Place for Work,Main,World / Expedition Log / Active Leader,Depot tutorial complete.,Build ST_CAMP_WORKBENCH and craft first repair kit.,Base camp.,Repair loop unlocked; leader issue state can report maintenance debt.,Structures decay slowly if ignored.,Camp Workbench remains T0 fail-safe.
MQ_007,Act 1 - Stabilization,Names on the Board,Main,World / Expedition Log / Active Leader,3+ survivors alive.,Assign at least three roles and appoint a temporary leader for one department.,Base camp.,Leadership XP begins; leader panel unlocked.,Wrong assignments create CrossRolePenalty warnings.,Any NPC can be leader; this starts weak by design.
MQ_008,Act 1 - Stabilization,"Safe Known, Unknown, Suspect",Main,World / Expedition Log / Active Leader,Player obtains native food or meat.,Classify first food source or rely on sealed Earth food until sample is researched.,Research bench / Pantry.,CodexDiscoveryState and EdibilityState UI unlock.,Eating unknown food risks illness.,Reinforces EarthSealed safe floor.
MQ_009,Act 1 - Stabilization,The Missing Tool Chain,Main,World / Expedition Log / Active Leader,Research or Engineering stalls.,Recover one REF_BASIC_TOOLING reference component from a tool-gated wreck.,EngineeringWreck or WorkshopContainer placeholder.,Unlock basic tool recipes and micro-research queue slot 1.,Colonists suffer repair backlog.,Core no-shards unlock: haul the object home.
MQ_010,Act 2 - Industry,"Smoke, Clay, and Metal",Main,World / Expedition Log / Active Leader,Camp stable for 2 days.,Build ST_ANVIL_FORGE and ST_KILN_FURNACE or their prerequisites.,Base or forward work yard.,Metalwork/Ceramics T0 tech available; +Engineer MR.,Cannot fabricate stable hardware.,Major infrastructure reward is built by the player.
MQ_011,Act 2 - Industry,The First Real Schedule,Main,World / Expedition Log / Active Leader,At least 5 survivors.,Create role priority trees and fallback arrays for 4 departments.,Base job board.,FallbackTaskArray enabled; idle-worker warnings reduce.,Unassigned workers waste time.,The colony becomes a system.
MQ_012,Act 2 - Industry,Militia Without Magic Guns,Main,World / Expedition Log / Active Leader,First hostile sighting or BaseRisk > threshold.,"Build emergency weapon rack, load one MilitiaKit, and drill three civilians.",Base interior / safe room.,Civilian DEFEND/HIDE/FLEE simulation unlocked; +MR Security.,Raid response is chaotic if skipped.,"Weapons are physical, not spawned."
MQ_013,Act 2 - Industry,The Cartography Board,Main,World / Expedition Log / Active Leader,Scout report or Hunter leader present.,Build cartography board and pin 3 reports from player/scout exploration.,Base civic/work room.,POI rumor system and location placeholders unlocked.,Player lacks structured route data.,"Reward is knowledge, not loot."
MQ_014,Act 2 - Industry,Micro Improvements,Main,World / Expedition Log / Active Leader,Research leader assigned.,Complete any 3 micro-research projects from different families.,Research bench.,MicroResearchStacking enabled and first family cap displayed.,Output remains baseline.,Teaches small additive-feeling but multiplicative-safe upgrades.
MQ_015,Act 2 - Industry,Grid in the Dark,Main,World / Expedition Log / Active Leader,Power components recovered.,"Assemble basic generator, storage, and powered station circuit.",Base power yard.,PowerQualityFactor telemetry enabled; electronics tier path opens.,Outages interrupt stations.,No one gives a generator; the camp builds one.
MQ_016,Act 3 - Factions,Not Alone,Main,World / Expedition Log / Active Leader,Radio burst or scout report.,Identify first non-player camp without starting a fight.,Faction camp placeholder selected by worldgen.,Faction diplomacy screen; moral compass comparison.,Unknown faction may expand near player.,Introduces other colonies as simulated peers.
MQ_017,Act 3 - Factions,Terms of Trust,Main,World / Expedition Log / Active Leader,First faction contact.,"Complete a believable faction trust objective: shared route, prisoner exchange, med aid, or trade convoy.",Good/neutral faction camp or route.,Access to faction market/services; item rewards only from visible faction stockpile.,Faction relation decays if ignored.,Solves OP item problem with logistics credibility.
MQ_018,Act 3 - Factions,Occupied Signal,Main,World / Expedition Log / Active Leader,IntelFragment stack or scout clue.,Find an occupied Remnant satellite site and identify garrison pattern.,"Occupied site placeholder: Relay Bastion, Power Tap, Armory Cache, etc.",Unlock site planning board and ControlState telemetry.,Faction activation accelerates.,Recon mission before dungeon assault.
MQ_019,Act 3 - Factions,"Extraction, Not Victory",Main,World / Expedition Log / Active Leader,Occupied site scouted.,"Clear, infiltrate, bargain, or sabotage a site; extract physical core/module and haul it home.",Any eligible occupied Remnant site.,Major TechNode stalls resolve via ReferenceComponentId / module delivery.,Overclock escalation if noisy/slow.,The reward is what the player physically extracts.
MQ_020,Act 4 - Remnant,Warm Systems,Main,World / Expedition Log / Active Leader,First Remnant module installed.,Survive first Remnant wake escalation and document trigger cause.,Claimed site or base module.,D diagnostic protocol; Research/Engineering leaders gain issue awareness.,Repeated power/noise abuse raises D volatility.,Makes D explainable.
MQ_021,Act 4 - Remnant,Capital Breadcrumbs,Main,World / Expedition Log / Active Leader,3+ IntelFragment or LeaderCaptureClue.,Assemble stacked intel to triangulate antagonist capital region.,Cartography board + multiple POI/faction leads.,"Capital search region appears, not exact coordinates.",Enemy strengthens outposts.,Prevents instant map marker hand-holding.
MQ_022,Act 4 - Remnant,The Human Cost,Main,World / Expedition Log / Active Leader,Refugees generated by faction collapse/site clear.,"Choose accept, refuse, escort elsewhere, or trade custody of refugees.",Wilderness route / player camp / faction camp.,Camp culture shifts; labor or diplomacy outcomes; no binary good/evil loot.,Refusal may create raider splinters.,Ties morality to simulation.
MQ_023,Act 4 - Remnant,Capital Approach,Main,World / Expedition Log / Active Leader,Capital region known.,"Disable or bypass two satellite systems: relay, power tap, recruitment hold, armory cache.",Regional occupied sites.,Capital raid difficulty reduced; enemy raid cadence changes.,Skipping makes finale much harder.,World state changes the final battle.
MQ_024,Act 5 - Resolution,The Long Signal,Main,World / Expedition Log / Active Leader,Deep power/relay tech online.,Build or claim a high-power beacon array and defend it through startup.,Base or claimed Relay Bastion.,Rescue ending path opens.,Broadcast draws raids/predators/D attention.,"Victory requires infrastructure, not one button."
MQ_025,Act 5 - Resolution,Escape Hardware,Main,World / Expedition Log / Active Leader,Alternate ending path chosen.,Recover launch/guidance/cryopod reference components from high-tier sites.,Major wrecks + Remnant Manufacturing Cell.,Escape ending path opens.,Components are bulk/fragile and attract raids.,No magic ship parts.
MQ_026,Act 5 - Resolution,Permanent Foothold,Main,World / Expedition Log / Active Leader,Settlement ending path chosen.,"Stabilize food, power, defense, morale, and faction treaties for a long-duration colony.",Player base and allied camps.,Settlement ending path opens; colony becomes self-sustaining simulation.,Sustained low morale can split colony.,This is survival-state victory.
MQ_027,Act 5 - Resolution,The Last Council,Main,World / Expedition Log / Active Leader,One ending path reaches final commitment.,"Leaders debate evacuation, rescue wait, or settlement; player commits policy.",Civic hall / command room.,Locks final objective set and applies camp-wide morale compass result.,Opposed leaders may resign/defect if alignment is terrible.,Final choice is political and human.
MQ_028,Act 5 - Resolution,Hold Until Dawn,Main,World / Expedition Log / Active Leader,Final objective active.,"Survive final multi-front pressure event: raid, D wake, weather, supply strain.",Base + claimed sites.,Complete selected ending.,Failure creates recovery/wipe branch.,Tests the whole systemic stack.
MQ_029,Epilogue,What We Built,Main,World / Expedition Log / Active Leader,Ending completed.,"Generate persistent outcome report from survivors, factions, losses, leaders, and discovered truth.",Postgame report.,New-game modifiers/codex unlocks only; no combat loot handout.,None.,Developer-facing: summary pulled from world state.
