Research,Tier,Prerequisites,Required Components,Supply Cost,Research Effort,Unlocks,Source Section
Camp,0,None,Survival Manual (Ripped Edition); Toolmaking Jig,Scrap Metal ×4; Fiber Bundle ×2; Fastener Set ×1,100 effort,Stations: Camp Workbench,Field Manual Table 1 - Major Research Catalog
Tools,0,Camp,Toolmaking Jig,Scrap Metal ×4; Fiber Bundle ×2; Fastener Set ×1,100 effort,"Recipes: Hatchet (T1), Pickaxe (T1)",Field Manual Table 1 - Major Research Catalog
Woodwork,0,Tools,Sawblade Pattern; Toolmaking Jig,Glassbark Plank ×8; Fastener Set ×2; Binding Rope ×1,100 effort,Stations: Sawbench,Field Manual Table 1 - Major Research Catalog
Cooking,0,Camp,Galley Burner Head; Toolmaking Jig,Charcoal Chunk ×2; Ceramic Tile ×2; Pitch Jar ×1,100 effort,"Stations: Cookfire | Recipes: Cooked Meat, Hot Porridge, Jerky Strip, Tuber Stew",Field Manual Table 1 - Major Research Catalog
Metalwork,0,Tools,Forge Die Set; Toolmaking Jig,Scrap Metal ×8; Flux Pebble ×4; Plate Panel ×2,100 effort,Stations: Anvil Forge | Recipes: Plate Panel,Field Manual Table 1 - Major Research Catalog
Ceramics,0,Tools,Kiln Thermocouple; Toolmaking Jig,Cut Stone Block ×6; Mortar Paste ×4; Ceramic Crucible ×1,100 effort,"Stations: Kiln Furnace, Kiln Oven | Recipes: Ceramic Filter Core, Ceramic Insulator",Field Manual Table 1 - Major Research Catalog
Finishing,0,Tools,Grinding Wheel Core; Toolmaking Jig,Scrap Metal ×4; Fiber Bundle ×2; Fastener Set ×1,100 effort,Stations: Grinder,Field Manual Table 1 - Major Research Catalog
Chemistry,0,Tools,Reactor Glass Set; Toolmaking Jig,Ceramic Filter Core ×1; Contact Cleaner Can ×1; Sealant Tube ×1; Pitch Jar ×1,100 effort,"Stations: Chem Bench | Recipes: Adhesive Cartridge, Sealant Tube",Field Manual Table 1 - Major Research Catalog
Polymers,0,Chemistry,Polymer Extruder Nozzle; Toolmaking Jig,Polymer Sheet ×3; Resin Nodule ×4; Sealant Tube ×1,100 effort,"Stations: Polymer Vat | Recipes: Cable Tie Bundle, Heat-Shrink Sleeve, Polymer Sheet",Field Manual Table 1 - Major Research Catalog
Seals,0,Polymers,Survival Manual (Ripped Edition); Toolmaking Jig,Scrap Metal ×4; Fiber Bundle ×2; Fastener Set ×1,100 effort,"Recipes: Gasket Cutout Set, Gasket Ring, Gasket Sheet, Glass Seal Ring, O-Ring Kit",Field Manual Table 1 - Major Research Catalog
Tanning,0,Chemistry,Polymer Extruder Nozzle; Toolmaking Jig,Polymer Sheet ×3; Resin Nodule ×4; Sealant Tube ×1,100 effort,Recipes: Tanning Salts,Field Manual Table 1 - Major Research Catalog
Armory,0,Machining,Receiver Alignment Jig; Toolmaking Jig,Receiver Frame ×1; Barrel Blank ×1; Trigger Group ×1; Lube Packet ×2,100 effort,Stations: Armory Bench,Field Manual Table 1 - Major Research Catalog
Machining,1,"Metalwork, Finishing",Machine Bench Guide Rail; Toolmaking Jig,Plate Panel ×2; Terminal Block ×1; Fastener Set ×2; Sealant Tube ×1,250 effort,Stations: Machine Bench,Field Manual Table 1 - Major Research Catalog
Electronics,1,"Tools, Ceramics",Electronics Diagnostic Tester,Plate Panel ×2; Terminal Block ×1; Fastener Set ×2; Sealant Tube ×1,250 effort,"Stations: Electronics Bench | Recipes: Circuit Board, Conductive Paste, Connector Housing, Contact Pin Set, Fuse Link Pack, Solder Wire Spool, Terminal Block, Wire Coil…",Field Manual Table 1 - Major Research Catalog
Powergrid,1,"Electronics, Metalwork",Inverter Module; Toolmaking Jig,Plate Panel ×2; Terminal Block ×1; Fastener Set ×2; Sealant Tube ×1,250 effort,—,Field Manual Table 1 - Major Research Catalog
Tools,1,Metalwork,Toolmaking Jig,Plate Panel ×2; Terminal Block ×1; Fastener Set ×2; Sealant Tube ×1,250 effort,"Recipes: Hatchet (Reinforced), Pickaxe (Reinforced)",Field Manual Table 1 - Major Research Catalog
Tools,2,Machining,Toolmaking Jig; Inverter Module,Plate Panel ×4; Heatsink Block ×1; Capacitor Bank ×1; Solder Wire Spool ×1,500 effort,"Recipes: Hatchet (Precision), Pickaxe (Precision)",Field Manual Table 1 - Major Research Catalog
Field Kit,0,"Camp, Tools",Survival Manual (Ripped Edition); Toolmaking Jig,Scrap Metal ×4; Fiber Bundle ×2; Fastener Set ×1,100 effort,Recipes: Cloth Wipes Bundle,Field Manual Table 1 - Major Research Catalog
Armor,1,"Tanning, Metalwork",Toolmaking Jig,Plate Panel ×2; Terminal Block ×1; Fastener Set ×2; Sealant Tube ×1,250 effort,Recipes: Light Armor Vest,Field Manual Table 1 - Major Research Catalog
Armor,2,"Armor, Machining",Inverter Module,Plate Panel ×4; Heatsink Block ×1; Capacitor Bank ×1; Solder Wire Spool ×1,500 effort,Recipes: Composite Vest,Field Manual Table 1 - Major Research Catalog
Thermal,1,Powergrid,Thermal Coupler; Toolmaking Jig,Ceramic Filter Core ×1; Contact Cleaner Can ×1; Sealant Tube ×1; Pitch Jar ×1,250 effort,Recipes: Heatsink Block,Field Manual Table 1 - Major Research Catalog
Optics,1,"Electronics, Finishing",Optics Calibration Prism; Toolmaking Jig,Lens Blank ×2; Glass Tube ×2; Solder Wire Spool ×1; Conductive Paste ×1,250 effort,Recipes: Red Dot,Field Manual Table 1 - Major Research Catalog
Optics,2,"Optics, Machining",Optics Calibration Prism; Inverter Module,Lens Blank ×2; Glass Tube ×2; Solder Wire Spool ×1; Conductive Paste ×1,500 effort,"Recipes: 4X Scope, Marksman Rifle",Field Manual Table 1 - Major Research Catalog
Optics,3,"Optics, Powergrid",Optics Calibration Prism; Encrypted Core Capsule; Proof Token,Lens Blank ×2; Glass Tube ×2; Solder Wire Spool ×1; Conductive Paste ×1,900 effort,Recipes: Bolt Sniper,Field Manual Table 1 - Major Research Catalog
Accessories,0,Armory,Survival Manual (Ripped Edition); Toolmaking Jig,Scrap Metal ×4; Fiber Bundle ×2; Fastener Set ×1,100 effort,"Recipes: Stock Pad, Vertical Grip",Field Manual Table 1 - Major Research Catalog
Grip,1,Accessories,Toolmaking Jig,Plate Panel ×2; Terminal Block ×1; Fastener Set ×2; Sealant Tube ×1,250 effort,Recipes: Vertical Grip,Field Manual Table 1 - Major Research Catalog
Firearms,2,"Machining, Armory",Receiver Alignment Jig; Inverter Module,Receiver Frame ×1; Barrel Blank ×1; Trigger Group ×1; Lube Packet ×2,500 effort,"Recipes: Barrel Assembly, Barrel Blank, Bolt Group, Compact SMG, Field Carbine, Magazine Body, Pump Shotgun, Receiver Frame…",Field Manual Table 1 - Major Research Catalog
Muzzle,2,Firearms,Inverter Module,Plate Panel ×4; Heatsink Block ×1; Capacitor Bank ×1; Solder Wire Spool ×1,500 effort,"Recipes: Baffle Core, Compensator, Suppressor",Field Manual Table 1 - Major Research Catalog
Magazines,2,Firearms,Inverter Module,Plate Panel ×4; Heatsink Block ×1; Capacitor Bank ×1; Solder Wire Spool ×1,500 effort,Recipes: Ext Mag,Field Manual Table 1 - Major Research Catalog
Ammo,1,"Armory, Chemistry",Primer Die Set; Toolmaking Jig,Strike Chip ×6; Clear Grit ×3; Flux Pebble ×3,250 effort,"Recipes: Pistol Casing Set, Pistol Rounds, Rifle Casing Set, Rifle Rounds, SMG Rounds, Shot Hull Set, Shotgun Shells",Field Manual Table 1 - Major Research Catalog
Ammo Pistol,1,Ammo,Primer Die Set; Toolmaking Jig,Strike Chip ×6; Clear Grit ×3; Flux Pebble ×3,250 effort,Recipes: Subsonic Pistol Rounds,Field Manual Table 1 - Major Research Catalog
Ammo Rifle,1,Ammo,Primer Die Set; Toolmaking Jig,Strike Chip ×6; Clear Grit ×3; Flux Pebble ×3,250 effort,Recipes: DMR Rounds,Field Manual Table 1 - Major Research Catalog
Ammo,2,"Ammo, Thermal",Primer Die Set; Inverter Module,Strike Chip ×6; Clear Grit ×3; Flux Pebble ×3,500 effort,"Recipes: Marksman Rounds, Sniper Casing Set",Field Manual Table 1 - Major Research Catalog
Ammo,3,"Ammo, Powergrid",Primer Die Set; Encrypted Core Capsule; Proof Token,Strike Chip ×6; Clear Grit ×3; Flux Pebble ×3,900 effort,Recipes: Sniper Rounds,Field Manual Table 1 - Major Research Catalog
Wpn Smg,2,Firearms,Inverter Module,Plate Panel ×4; Heatsink Block ×1; Capacitor Bank ×1; Solder Wire Spool ×1,500 effort,Recipes: Compact SMG,Field Manual Table 1 - Major Research Catalog
Wpn Carbine,2,Firearms,Inverter Module,Plate Panel ×4; Heatsink Block ×1; Capacitor Bank ×1; Solder Wire Spool ×1,500 effort,Recipes: Rifle Carbine,Field Manual Table 1 - Major Research Catalog
Wpn Dmr,2,"Firearms, Optics",Inverter Module,Plate Panel ×4; Heatsink Block ×1; Capacitor Bank ×1; Solder Wire Spool ×1,500 effort,Recipes: Marksman Rifle,Field Manual Table 1 - Major Research Catalog
Remnant Systems Fab,4,"Powergrid, Machining, Electronics",Remnant Printhead; Encrypted Core Capsule; Proof Token,Data Core ×2; Proof Token ×1; Capacitor Bank ×3; Blackglass Plate ×2,1500 effort,Stations: Remnant Printer,Field Manual Table 1 - Major Research Catalog
